ds,Year,Month,b_counts,Barnet 001A,Barnet 001B,Barnet 001C,Barnet 001D,Barnet 001E,Barnet 001F,Barnet 002A,Barnet 002B,Barnet 002C,Barnet 002D,Barnet 002E,Barnet 003A,Barnet 003B,Barnet 003C,Barnet 003D,Barnet 004A,Barnet 004B,Barnet 004C,Barnet 004D,Barnet 004E,Barnet 004F,Barnet 005A,Barnet 005B,Barnet 005C,Barnet 005D,Barnet 006A,Barnet 006B,Barnet 006C,Barnet 006D,Barnet 006E,Barnet 007A,Barnet 007B,Barnet 007C,Barnet 007D,Barnet 007E,Barnet 007F,Barnet 008A,Barnet 008B,Barnet 008C,Barnet 008D,Barnet 008E,Barnet 009A,Barnet 009B,Barnet 009C,Barnet 009D,Barnet 009E,Barnet 010A,Barnet 010B,Barnet 010C,Barnet 010D,Barnet 010E,Barnet 011A,Barnet 011B,Barnet 011C,Barnet 011D,Barnet 011E,Barnet 012A,Barnet 012B,Barnet 012C,Barnet 012D,Barnet 012E,Barnet 013A,Barnet 013B,Barnet 013C,Barnet 013D,Barnet 013E,Barnet 013F,Barnet 014A,Barnet 014B,Barnet 014C,Barnet 014D,Barnet 014E,Barnet 014F,Barnet 015A,Barnet 015B,Barnet 015C,Barnet 015D,Barnet 015E,Barnet 015F,Barnet 016A,Barnet 016B,Barnet 016C,Barnet 016D,Barnet 017A,Barnet 017B,Barnet 017C,Barnet 017D,Barnet 018A,Barnet 018B,Barnet 018C,Barnet 018D,Barnet 018E,Barnet 019A,Barnet 019B,Barnet 019C,Barnet 019D,Barnet 019E,Barnet 019F,Barnet 020A,Barnet 020B,Barnet 020C,Barnet 020D,Barnet 020E,Barnet 021A,Barnet 021B,Barnet 021C,Barnet 021D,Barnet 021E,Barnet 022A,Barnet 022B,Barnet 022C,Barnet 022D,Barnet 022E,Barnet 022F,Barnet 023A,Barnet 023B,Barnet 023C,Barnet 023D,Barnet 024A,Barnet 024B,Barnet 024C,Barnet 024D,Barnet 024E,Barnet 024F,Barnet 025A,Barnet 025B,Barnet 025C,Barnet 025D,Barnet 025E,Barnet 026A,Barnet 026B,Barnet 026C,Barnet 026D,Barnet 026E,Barnet 027A,Barnet 027B,Barnet 027C,Barnet 027D,Barnet 027E,Barnet 027F,Barnet 028A,Barnet 028B,Barnet 028C,Barnet 028D,Barnet 028E,Barnet 029A,Barnet 029B,Barnet 029C,Barnet 029D,Barnet 029E,Barnet 029F,Barnet 030A,Barnet 030B,Barnet 030D,Barnet 030E,Barnet 030F,Barnet 031A,Barnet 031B,Barnet 031C,Barnet 031D,Barnet 032A,Barnet 032B,Barnet 032C,Barnet 032D,Barnet 032E,Barnet 032F,Barnet 033A,Barnet 033B,Barnet 033C,Barnet 033D,Barnet 033E,Barnet 033F,Barnet 034A,Barnet 034B,Barnet 034C,Barnet 034D,Barnet 035A,Barnet 035B,Barnet 035C,Barnet 035D,Barnet 035E,Barnet 035F,Barnet 036A,Barnet 036B,Barnet 036C,Barnet 036D,Barnet 036E,Barnet 036F,Barnet 037A,Barnet 037B,Barnet 037C,Barnet 037D,Barnet 037E,Barnet 037F,Barnet 038A,Barnet 038B,Barnet 038C,Barnet 038D,Barnet 038E,Barnet 039A,Barnet 039B,Barnet 039C,Barnet 039D,Barnet 040A,Barnet 040B,Barnet 040C,Barnet 040D,Barnet 041A,Barnet 041B,Barnet 041C,Barnet 041D
2011-11,2011,11,361,3,1,3,3,0,2,1,4,1,2,0,1,1,1,0,3,1,3,2,3,1,2,5,2,0,2,0,1,2,1,3,1,3,3,1,1,1,1,7,2,3,0,4,4,2,3,3,2,0,1,2,2,1,4,3,2,1,2,3,2,2,1,1,3,2,1,5,0,0,2,0,3,3,3,3,4,3,0,3,3,3,0,5,1,3,1,1,4,2,0,2,0,4,1,1,2,0,1,1,1,1,6,2,0,0,0,1,1,0,3,0,2,0,2,1,2,1,2,1,0,0,3,1,0,1,2,0,3,2,0,1,1,1,0,2,2,0,3,3,1,3,2,3,0,2,4,1,1,3,1,1,2,1,1,2,1,0,2,0,1,2,3,1,3,3,3,0,2,1,2,2,1,0,2,3,0,2,1,2,0,0,3,2,2,1,1,1,1,0,1,1,0,0,0,2,3,0,2,3,2,4,3,1,2,1,2,2,3,2,4,4
2011-12,2011,12,436,2,6,1,0,1,0,2,0,2,2,2,1,3,0,0,2,7,1,1,4,0,5,2,0,0,3,2,4,0,5,4,5,1,1,3,4,4,0,4,2,1,4,3,1,2,2,0,0,0,2,3,4,2,1,0,5,1,1,0,1,1,0,4,0,3,4,4,3,1,3,1,4,2,10,8,3,0,1,2,4,0,3,2,3,3,3,3,2,3,2,2,4,0,0,1,4,2,2,2,5,0,1,1,1,0,0,1,0,4,4,1,3,0,4,1,1,2,3,0,0,6,3,1,0,1,6,2,1,2,2,2,0,2,0,2,3,2,0,3,0,1,1,2,0,1,3,3,2,2,3,0,3,1,1,3,1,0,3,1,4,1,3,2,3,1,7,0,3,2,3,3,1,2,2,1,0,0,2,1,3,0,2,0,5,3,2,2,2,2,1,1,4,1,1,1,2,4,5,1,6,2,1,2,6,2,5,4,0,3,0,3
2012-01,2012,1,435,5,3,4,1,4,0,2,1,2,2,0,1,5,1,2,0,2,1,2,1,1,5,3,1,1,2,3,4,0,6,3,5,0,2,2,2,2,2,0,2,2,2,3,1,3,1,2,2,0,2,1,3,3,1,0,1,0,0,1,3,4,1,0,1,1,4,5,1,5,6,1,0,3,6,1,3,1,2,1,2,3,3,6,2,0,1,0,3,3,4,5,7,3,0,3,2,3,8,2,3,2,3,3,1,3,1,3,2,2,4,1,1,1,2,2,2,1,2,2,0,0,3,2,0,3,3,0,1,3,0,2,3,1,0,0,1,0,1,2,1,1,2,2,3,1,0,6,1,1,2,1,0,1,0,7,0,1,2,2,0,1,3,2,4,2,5,0,4,1,5,6,2,1,5,2,1,4,1,3,6,2,1,0,0,0,4,2,1,3,2,1,2,1,0,1,0,2,9,2,3,3,0,0,2,1,2,2,1,3,3,2
2012-02,2012,2,415,1,4,6,1,0,3,2,2,0,3,0,2,3,1,3,0,4,0,1,3,1,2,2,4,0,0,5,7,2,4,4,2,2,0,2,3,2,1,0,4,2,0,7,3,6,3,3,1,1,0,2,5,3,3,1,4,3,0,0,1,2,0,0,4,2,3,4,1,1,4,1,0,0,4,7,1,1,2,1,2,2,0,1,0,3,0,1,3,1,7,4,1,5,1,1,3,2,1,4,8,2,3,1,1,0,1,2,2,1,1,0,1,0,4,3,0,0,2,0,0,1,4,0,0,7,4,1,5,2,0,1,1,0,0,3,2,0,2,9,2,0,1,1,2,1,2,0,2,1,0,0,0,1,0,2,0,2,1,0,1,2,2,3,1,4,2,2,0,0,3,1,1,5,3,1,2,1,0,3,1,3,2,3,4,1,1,2,1,6,1,3,3,2,1,2,1,4,4,1,1,2,2,2,4,5,3,1,1,4,0,1
2012-03,2012,3,431,0,7,4,1,0,1,2,4,5,3,2,2,0,2,7,1,1,2,2,4,1,3,1,4,1,3,2,2,1,3,0,4,1,2,3,2,0,1,2,2,2,2,3,3,1,2,2,7,0,2,3,3,3,3,2,8,3,1,3,2,3,0,0,3,0,0,2,0,0,1,1,1,1,4,5,1,5,1,2,1,3,0,3,1,6,2,0,1,1,4,1,2,7,1,2,5,3,6,4,3,2,6,1,2,2,1,0,1,2,0,3,6,0,3,1,1,5,3,2,1,1,0,6,0,4,2,1,6,7,0,1,1,0,1,1,3,4,1,5,2,1,0,0,0,1,0,2,0,0,1,0,1,1,2,2,1,1,1,1,2,0,2,1,0,0,3,2,2,2,5,0,2,0,3,2,1,5,3,5,3,2,3,1,0,0,2,2,1,5,3,0,3,2,3,2,4,3,4,0,0,4,2,2,1,2,0,1,0,2,2,0
2012-04,2012,4,298,0,2,1,0,4,0,0,1,0,2,2,2,0,1,2,1,0,1,1,2,2,1,1,4,1,4,0,3,1,2,1,0,0,2,1,2,1,2,1,1,3,2,4,1,2,3,1,2,2,1,1,3,1,6,5,3,1,0,1,1,1,0,1,1,0,2,1,2,0,1,3,0,1,2,5,3,1,0,2,2,3,3,0,0,2,2,3,1,2,1,1,2,2,1,2,1,3,2,0,0,1,1,2,0,0,0,2,0,2,2,2,4,1,5,0,3,0,0,0,1,0,1,3,1,4,0,0,1,2,0,1,1,2,1,2,4,4,1,2,0,4,1,2,0,0,1,0,0,2,1,0,1,0,0,1,1,1,2,0,0,0,1,1,4,0,1,2,0,2,1,2,0,2,1,2,1,1,0,1,0,1,1,4,2,0,5,1,0,3,1,1,0,1,1,2,1,1,2,2,0,2,1,2,1,1,2,2,1,2,4,2
2012-05,2012,5,348,1,0,2,1,1,0,6,1,3,1,1,0,0,0,2,1,1,2,1,2,2,4,1,2,1,6,4,2,1,5,0,2,1,1,1,0,0,0,3,0,2,1,0,3,1,3,0,2,1,1,5,3,1,4,0,3,0,0,0,0,1,1,1,0,1,3,1,1,0,1,0,1,1,0,2,3,3,4,3,1,2,2,2,2,1,2,0,1,0,1,0,2,1,3,1,2,3,1,1,1,0,1,2,1,0,0,2,0,2,0,1,1,1,3,3,1,4,1,2,3,1,6,1,2,2,3,2,0,0,1,1,3,0,0,1,3,1,3,6,2,1,1,2,2,0,4,3,3,0,0,1,0,2,0,4,0,2,1,0,0,0,0,1,1,5,1,0,2,1,2,0,0,5,3,3,3,4,4,4,0,3,3,1,5,1,2,2,2,5,1,2,3,3,5,1,1,3,3,0,3,1,3,5,1,1,2,2,1,2,2,0
2012-06,2012,6,433,3,0,6,3,4,1,1,1,3,2,2,2,0,1,5,1,6,1,3,2,4,3,1,4,3,2,12,1,2,6,2,1,2,2,9,2,2,4,3,3,1,0,3,1,1,1,1,2,1,1,3,0,3,3,2,4,1,0,3,2,1,0,2,1,3,2,5,1,1,2,2,1,3,1,1,2,3,1,2,1,6,2,2,3,0,2,1,4,2,2,1,2,2,0,2,1,3,4,2,2,0,2,2,0,0,0,1,1,0,1,4,1,3,11,2,1,2,2,1,0,2,4,1,1,2,3,1,0,3,0,1,0,0,0,3,1,0,2,8,1,2,3,5,4,4,3,2,2,4,1,0,0,1,0,2,1,0,1,0,1,4,2,1,1,2,1,0,3,2,2,3,2,1,2,0,3,0,0,2,3,2,5,2,1,0,2,5,2,4,2,1,2,2,0,1,1,6,5,0,0,1,2,2,4,2,3,2,1,2,6,2
2012-07,2012,7,334,1,2,2,1,1,2,2,1,0,3,0,1,1,2,3,2,1,1,2,0,2,4,2,0,0,1,2,1,4,5,5,3,1,1,4,1,1,3,0,2,2,1,1,0,1,0,1,0,1,2,3,3,2,3,1,2,3,3,3,0,1,1,0,0,0,0,3,0,0,2,1,2,2,1,0,0,2,4,1,1,5,1,1,1,2,2,1,0,1,4,0,1,2,1,2,0,2,1,0,0,1,3,1,1,1,0,2,1,5,1,1,1,1,3,1,0,0,3,2,0,4,4,2,0,4,4,0,4,6,0,2,0,1,1,2,1,1,2,2,1,0,4,2,1,1,1,0,1,0,0,0,2,1,1,0,0,0,2,3,1,0,0,1,1,2,2,0,0,1,3,5,1,3,1,2,2,5,5,3,1,0,3,0,1,0,2,5,0,4,2,4,1,3,4,4,0,2,8,0,0,0,3,1,1,3,0,0,1,2,1,2
2012-08,2012,8,392,2,4,5,0,3,0,1,1,5,3,2,2,0,0,3,1,1,1,3,1,0,1,0,3,0,4,2,3,1,3,2,2,0,1,3,0,0,3,3,3,0,2,1,0,1,2,3,0,0,0,1,1,4,3,1,3,0,0,0,5,2,1,3,2,1,6,1,0,2,3,0,1,3,6,0,2,2,4,2,0,2,0,1,2,1,0,1,7,2,15,1,2,3,0,0,2,1,4,0,0,0,2,1,1,0,0,5,0,3,3,4,2,0,8,3,0,2,0,4,0,2,2,1,1,3,2,0,1,2,1,0,2,2,1,0,3,3,1,4,2,4,1,2,0,4,5,3,1,2,4,1,2,1,0,2,0,2,5,0,1,1,3,1,0,8,5,1,1,0,1,2,1,1,4,3,3,2,1,1,4,4,1,0,3,0,2,1,0,3,2,2,1,0,3,1,2,2,8,0,2,0,1,2,1,1,2,0,1,6,2,1
